Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,was_home,clean_sheets,assists
338,18.3,64.2,24.1,95.0,1.2,Kane,110,FWD,TOT,90,50,13.0,13,,True,0,0
238,9.8,43.2,48.8,6.0,1.1,Pogba,85,MID,MUN,90,30,9.0,9,100,True,1,2
239,13.0,39.2,19.3,71.0,0.9,Martial,75,MID,MUN,90,19,7.0,7,,True,1,0
211,8.0,33.4,4.8,42.0,0.6,Jesus,95,FWD,MCI,68,31,6.0,6,,False,1,0
246,4.6,22.0,20.1,4.0,1.2,Pereira,50,MID,MUN,73,22,6.0,6,,True,1,1
340,2.1,21.4,0.0,0.0,0.5,Lloris,55,GKP,TOT,90,13,3.0,3,,True,0,0
251,4.3,10.6,32.5,0.0,0.4,Ritchie,55,DEF,NEW,90,14,2.0,2,75,True,0,0
252,3.0,23.4,1.7,5.0,0.4,Schr,50,DEF,NEW,90,12,2.0,2,,True,0,0
298,6.8,32.4,0.5,35.0,1.3,Sharp,60,FWD,SHU,8,26,8.0,8,,False,0,0
85,3.2,14.2,15.3,2.0,1.3,Lowton,45,DEF,BUR,90,23,6.0,6,,True,1,0
