Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,minutes,bps,points-per-game,playing-chance
441,8.7,64.2,12.1,10.0,0.5,Collins,44,237,44,2.7,0
442,9.4,85.6,1.5,6.0,1.0,Reid,49,360,84,3.8,100
443,25.3,69.6,150.8,32.0,1.1,Cresswell,50,459,88,3.0,100
444,8.0,66.6,12.4,0.0,0.1,Ogbonna,44,360,57,0.5,
446,6.1,40.8,20.3,0.0,0.3,Masuaku,44,96,25,2.5,
447,19.7,118.2,75.4,2.0,0.8,Zabaleta,49,540,92,2.0,
449,15.5,67.2,34.3,54.0,0.6,Ayew,70,290,67,3.0,100
450,16.2,59.8,87.4,14.0,0.1,Noble,55,310,59,2.0,100
451,11.6,64.6,26.6,25.0,0.9,Kouyat,50,289,61,3.8,100
452,13.4,98.6,24.6,10.0,1.0,Obiang,45,284,83,4.3,0
454,23.1,40.6,95.4,95.0,0.3,Antonio,75,364,33,2.6,100
461,10.5,73.6,24.4,8.0,0.7,Suttner,44,540,92,3.0,
463,15.0,83.2,44.7,22.0,0.6,Bakayoko,50,330,69,2.4,100
464,15.2,62.0,80.5,8.0,0.2,Martina,43,300,42,0.8,
468,23.7,147.2,12.5,76.0,0.5,Hegazi,49,506,122,5.3,
469,8.7,87.2,0.0,0.0,0.9,Pope,45,234,62,4.0,
470,9.6,78.2,13.0,4.0,0.4,Christensen,55,255,65,2.2,
472,67.7,256.2,87.1,333.0,0.8,Morata,103,454,165,8.0,
474,7.3,37.4,16.4,18.0,0.2,James,45,338,35,2.0,0
475,11.8,28.4,65.1,24.0,0.1,Robertson,49,180,47,5.5,
477,15.5,63.8,80.7,10.0,0.5,Manquillo,45,360,73,4.0,
479,8.9,88.8,0.0,0.0,1.0,Hart,45,540,107,2.7,
482,2.6,21.6,2.2,4.0,0.1,Riedewald,48,99,21,1.0,100
483,18.5,65.2,46.0,73.0,0.7,Danilo,54,333,99,4.6,
484,19.7,68.4,100.9,27.0,0.8,Mendy,65,298,84,4.3,100
485,3.9,32.6,0.3,6.0,0.0,Bartley,44,75,18,1.5,0
487,41.9,128.6,102.0,191.0,0.4,Chicharito,70,498,86,4.2,
488,37.5,62.2,72.8,243.0,0.4,Joselu,55,334,27,2.6,
490,15.7,81.2,28.0,47.0,0.4,Prpper,54,540,84,2.3,
494,14.6,98.8,43.1,4.0,0.3,Mbemba,40,408,81,3.0,100
495,20.5,109.0,56.4,40.0,0.4,Merino,50,464,91,1.8,
496,17.3,67.4,69.8,36.0,0.4,Hayden,45,449,46,1.8,
497,44.4,100.2,71.6,272.0,1.1,Choupo-Moting,56,468,54,4.2,100
498,4.0,15.2,20.7,4.0,0.0,Walker-Peters,43,90,29,6.0,
500,16.1,72.4,55.1,33.0,0.3,Lemina,50,307,72,2.5,100
501,46.2,132.0,97.5,233.0,0.7,Richarlison,61,480,88,5.0,
510,2.8,25.4,2.4,0.0,0.1,Rice,45,150,25,0.8,
